sentid	pairid	comparison	sentence	ROI	verb	semantic	semantic_class_detailed
77	39	expected	David abhorred Mary because she	4	abhorred	Psychological	ExpStim
78	39	unexpected	David abhorred John because she	4	abhorred	Psychological	ExpStim
79	40	expected	David abhorred Sarah because she	4	abhorred	Psychological	ExpStim
80	40	unexpected	David abhorred John because she	4	abhorred	Psychological	ExpStim
81	41	expected	Mary abhorred John because he	4	abhorred	Psychological	ExpStim
82	41	unexpected	Mary abhorred Sarah because he	4	abhorred	Psychological	ExpStim
83	42	expected	Mary abhorred David because he	4	abhorred	Psychological	ExpStim
84	42	unexpected	Mary abhorred Sarah because he	4	abhorred	Psychological	ExpStim
85	43	expected	Mary abhorred Sarah because she	4	abhorred	Psychological	ExpStim
86	43	unexpected	Mary abhorred John because she	4	abhorred	Psychological	ExpStim
87	44	expected	Mary abhorred Sarah because she	4	abhorred	Psychological	ExpStim
88	44	unexpected	Mary abhorred David because she	4	abhorred	Psychological	ExpStim
89	45	expected	Sarah abhorred John because he	4	abhorred	Psychological	ExpStim
90	45	unexpected	Sarah abhorred Mary because he	4	abhorred	Psychological	ExpStim
91	46	expected	Sarah abhorred David because he	4	abhorred	Psychological	ExpStim
92	46	unexpected	Sarah abhorred Mary because he	4	abhorred	Psychological	ExpStim
93	47	expected	Sarah abhorred Mary because she	4	abhorred	Psychological	ExpStim
94	47	unexpected	Sarah abhorred John because she	4	abhorred	Psychological	ExpStim
95	48	expected	Sarah abhorred Mary because she	4	abhorred	Psychological	ExpStim
96	48	unexpected	Sarah abhorred David because she	4	abhorred	Psychological	ExpStim
97	49	expected	John acclaimed David because he	4	acclaimed	Activity	AgEvo
98	49	unexpected	John acclaimed Mary because he	4	acclaimed	Activity	AgEvo
99	50	expected	John acclaimed David because he	4	acclaimed	Activity	AgEvo
100	50	unexpected	John acclaimed Sarah because he	4	acclaimed	Activity	AgEvo
101	51	expected	John acclaimed Mary because she	4	acclaimed	Activity	AgEvo
102	51	unexpected	John acclaimed David because she	4	acclaimed	Activity	AgEvo
103	52	expected	John acclaimed Sarah because she	4	acclaimed	Activity	AgEvo
104	52	unexpected	John acclaimed David because she	4	acclaimed	Activity	AgEvo
105	53	expected	David acclaimed John because he	4	acclaimed	Activity	AgEvo
106	53	unexpected	David acclaimed Mary because he	4	acclaimed	Activity	AgEvo
107	54	expected	David acclaimed John because he	4	acclaimed	Activity	AgEvo
108	54	unexpected	David acclaimed Sarah because he	4	acclaimed	Activity	AgEvo
109	55	expected	David acclaimed Mary because she	4	acclaimed	Activity	AgEvo
110	55	unexpected	David acclaimed John because she	4	acclaimed	Activity	AgEvo
111	56	expected	David acclaimed Sarah because she	4	acclaimed	Activity	AgEvo
112	56	unexpected	David acclaimed John because she	4	acclaimed	Activity	AgEvo
113	57	expected	Mary acclaimed John because he	4	acclaimed	Activity	AgEvo
114	57	unexpected	Mary acclaimed Sarah because he	4	acclaimed	Activity	AgEvo
115	58	expected	Mary acclaimed David because he	4	acclaimed	Activity	AgEvo
116	58	unexpected	Mary acclaimed Sarah because he	4	acclaimed	Activity	AgEvo
117	59	expected	Mary acclaimed Sarah because she	4	acclaimed	Activity	AgEvo
118	59	unexpected	Mary acclaimed John because she	4	acclaimed	Activity	AgEvo
119	60	expected	Mary acclaimed Sarah because she	4	acclaimed	Activity	AgEvo
120	60	unexpected	Mary acclaimed David because she	4	acclaimed	Activity	AgEvo
121	61	expected	Sarah acclaimed John because he	4	acclaimed	Activity	AgEvo
122	61	unexpected	Sarah acclaimed Mary because he	4	acclaimed	Activity	AgEvo
123	62	expected	Sarah acclaimed David because he	4	acclaimed	Activity	AgEvo
124	62	unexpected	Sarah acclaimed Mary because he	4	acclaimed	Activity	AgEvo
125	63	expected	Sarah acclaimed Mary because she	4	acclaimed	Activity	AgEvo
126	63	unexpected	Sarah acclaimed John because she	4	acclaimed	Activity	AgEvo
127	64	expected	Sarah acclaimed Mary because she	4	acclaimed	Activity	AgEvo
128	64	unexpected	Sarah acclaimed David because she	4	acclaimed	Activity	AgEvo
129	65	expected	John accompanied David because he	4	accompanied	Activity	AgP
130	65	unexpected	Mary accompanied David because he	4	accompanied	Activity	AgP
131	66	expected	John accompanied David because he	4	accompanied	Activity	AgP
132	66	unexpected	Sarah accompanied David because he	4	accompanied	Activity	AgP
133	67	expected	John accompanied Mary because he	4	accompanied	Activity	AgP
134	67	unexpected	Sarah accompanied Mary because he	4	accompanied	Activity	AgP
135	68	expected	John accompanied Sarah because he	4	accompanied	Activity	AgP
136	68	unexpected	Mary accompanied Sarah because he	4	accompanied	Activity	AgP
137	69	expected	David accompanied John because he	4	accompanied	Activity	AgP
138	69	unexpected	Mary accompanied John because he	4	accompanied	Activity	AgP
139	70	expected	David accompanied John because he	4	accompanied	Activity	AgP
140	70	unexpected	Sarah accompanied John because he	4	accompanied	Activity	AgP
141	71	expected	David accompanied Mary because he	4	accompanied	Activity	AgP
142	71	unexpected	Sarah accompanied Mary because he	4	accompanied	Activity	AgP
143	72	expected	David accompanied Sarah because he	4	accompanied	Activity	AgP
144	72	unexpected	Mary accompanied Sarah because he	4	accompanied	Activity	AgP
145	73	expected	Mary accompanied John because she	4	accompanied	Activity	AgP
146	73	unexpected	David accompanied John because she	4	accompanied	Activity	AgP
147	74	expected	Mary accompanied David because she	4	accompanied	Activity	AgP
148	74	unexpected	John accompanied David because she	4	accompanied	Activity	AgP
149	75	expected	Mary accompanied Sarah because she	4	accompanied	Activity	AgP
150	75	unexpected	John accompanied Sarah because she	4	accompanied	Activity	AgP
151	76	expected	Mary accompanied Sarah because she	4	accompanied	Activity	AgP
152	76	unexpected	David accompanied Sarah because she	4	accompanied	Activity	AgP
153	77	expected	Sarah accompanied John because she	4	accompanied	Activity	AgP
154	77	unexpected	David accompanied John because she	4	accompanied	Activity	AgP
155	78	expected	Sarah accompanied David because she	4	accompanied	Activity	AgP
156	78	unexpected	John accompanied David because she	4	accompanied	Activity	AgP
157	79	expected	Sarah accompanied Mary because she	4	accompanied	Activity	AgP
158	79	unexpected	John accompanied Mary because she	4	accompanied	Activity	AgP
159	80	expected	Sarah accompanied Mary because she	4	accompanied	Activity	AgP
160	80	unexpected	David accompanied Mary because she	4	accompanied	Activity	AgP
161	81	expected	John accused David because he	4	accused	Activity	AgEvo
162	81	unexpected	John accused Mary because he	4	accused	Activity	AgEvo
163	82	expected	John accused David because he	4	accused	Activity	AgEvo
164	82	unexpected	John accused Sarah because he	4	accused	Activity	AgEvo
165	83	expected	John accused Mary because she	4	accused	Activity	AgEvo
166	83	unexpected	John accused David because she	4	accused	Activity	AgEvo
167	84	expected	John accused Sarah because she	4	accused	Activity	AgEvo
168	84	unexpected	John accused David because she	4	accused	Activity	AgEvo
169	85	expected	David accused John because he	4	accused	Activity	AgEvo
170	85	unexpected	David accused Mary because he	4	accused	Activity	AgEvo
171	86	expected	David accused John because he	4	accused	Activity	AgEvo
172	86	unexpected	David accused Sarah because he	4	accused	Activity	AgEvo
173	87	expected	David accused Mary because she	4	accused	Activity	AgEvo
174	87	unexpected	David accused John because she	4	accused	Activity	AgEvo
175	88	expected	David accused Sarah because she	4	accused	Activity	AgEvo
176	88	unexpected	David accused John because she	4	accused	Activity	AgEvo
177	89	expected	Mary accused John because he	4	accused	Activity	AgEvo
178	89	unexpected	Mary accused Sarah because he	4	accused	Activity	AgEvo
179	90	expected	Mary accused David because he	4	accused	Activity	AgEvo
180	90	unexpected	Mary accused Sarah because he	4	accused	Activity	AgEvo
181	91	expected	Mary accused Sarah because she	4	accused	Activity	AgEvo
182	91	unexpected	Mary accused John because she	4	accused	Activity	AgEvo
183	92	expected	Mary accused Sarah because she	4	accused	Activity	AgEvo
184	92	unexpected	Mary accused David because she	4	accused	Activity	AgEvo
185	93	expected	Sarah accused John because he	4	accused	Activity	AgEvo
186	93	unexpected	Sarah accused Mary because he	4	accused	Activity	AgEvo
187	94	expected	Sarah accused David because he	4	accused	Activity	AgEvo
188	94	unexpected	Sarah accused Mary because he	4	accused	Activity	AgEvo
189	95	expected	Sarah accused Mary because she	4	accused	Activity	AgEvo
190	95	unexpected	Sarah accused John because she	4	accused	Activity	AgEvo
191	96	expected	Sarah accused Mary because she	4	accused	Activity	AgEvo
192	96	unexpected	Sarah accused David because she	4	accused	Activity	AgEvo
193	97	expected	John admired David because he	4	admired	Psychological	ExpStim
194	97	unexpected	John admired Mary because he	4	admired	Psychological	ExpStim
195	98	expected	John admired David because he	4	admired	Psychological	ExpStim
196	98	unexpected	John admired Sarah because he	4	admired	Psychological	ExpStim
197	99	expected	John admired Mary because she	4	admired	Psychological	ExpStim
198	99	unexpected	John admired David because she	4	admired	Psychological	ExpStim
199	100	expected	John admired Sarah because she	4	admired	Psychological	ExpStim
200	100	unexpected	John admired David because she	4	admired	Psychological	ExpStim
201	101	expected	David admired John because he	4	admired	Psychological	ExpStim
202	101	unexpected	David admired Mary because he	4	admired	Psychological	ExpStim
203	102	expected	David admired John because he	4	admired	Psychological	ExpStim
204	102	unexpected	David admired Sarah because he	4	admired	Psychological	ExpStim
205	103	expected	David admired Mary because she	4	admired	Psychological	ExpStim
206	103	unexpected	David admired John because she	4	admired	Psychological	ExpStim
207	104	expected	David admired Sarah because she	4	admired	Psychological	ExpStim
208	104	unexpected	David admired John because she	4	admired	Psychological	ExpStim
209	105	expected	Mary admired John because he	4	admired	Psychological	ExpStim
210	105	unexpected	Mary admired Sarah because he	4	admired	Psychological	ExpStim
211	106	expected	Mary admired David because he	4	admired	Psychological	ExpStim
212	106	unexpected	Mary admired Sarah because he	4	admired	Psychological	ExpStim
213	107	expected	Mary admired Sarah because she	4	admired	Psychological	ExpStim
214	107	unexpected	Mary admired John because she	4	admired	Psychological	ExpStim
215	108	expected	Mary admired Sarah because she	4	admired	Psychological	ExpStim
216	108	unexpected	Mary admired David because she	4	admired	Psychological	ExpStim
217	109	expected	Sarah admired John because he	4	admired	Psychological	ExpStim
218	109	unexpected	Sarah admired Mary because he	4	admired	Psychological	ExpStim
219	110	expected	Sarah admired David because he	4	admired	Psychological	ExpStim
220	110	unexpected	Sarah admired Mary because he	4	admired	Psychological	ExpStim
221	111	expected	Sarah admired Mary because she	4	admired	Psychological	ExpStim
222	111	unexpected	Sarah admired John because she	4	admired	Psychological	ExpStim
223	112	expected	Sarah admired Mary because she	4	admired	Psychological	ExpStim
224	112	unexpected	Sarah admired David because she	4	admired	Psychological	ExpStim
225	113	expected	John admonished David because he	4	admonished	Activity	AgP
226	113	unexpected	Mary admonished David because he	4	admonished	Activity	AgP
227	114	expected	John admonished David because he	4	admonished	Activity	AgP
228	114	unexpected	Sarah admonished David because he	4	admonished	Activity	AgP
229	115	expected	John admonished Mary because he	4	admonished	Activity	AgP
230	115	unexpected	Sarah admonished Mary because he	4	admonished	Activity	AgP
231	116	expected	John admonished Sarah because he	4	admonished	Activity	AgP
232	116	unexpected	Mary admonished Sarah because he	4	admonished	Activity	AgP
233	117	expected	David admonished John because he	4	admonished	Activity	AgP
234	117	unexpected	Mary admonished John because he	4	admonished	Activity	AgP
235	118	expected	David admonished John because he	4	admonished	Activity	AgP
236	118	unexpected	Sarah admonished John because he	4	admonished	Activity	AgP
237	119	expected	David admonished Mary because he	4	admonished	Activity	AgP
238	119	unexpected	Sarah admonished Mary because he	4	admonished	Activity	AgP
239	120	expected	David admonished Sarah because he	4	admonished	Activity	AgP
240	120	unexpected	Mary admonished Sarah because he	4	admonished	Activity	AgP
241	121	expected	Mary admonished John because she	4	admonished	Activity	AgP
242	121	unexpected	David admonished John because she	4	admonished	Activity	AgP
243	122	expected	Mary admonished David because she	4	admonished	Activity	AgP
244	122	unexpected	John admonished David because she	4	admonished	Activity	AgP
245	123	expected	Mary admonished Sarah because she	4	admonished	Activity	AgP
246	123	unexpected	John admonished Sarah because she	4	admonished	Activity	AgP
247	124	expected	Mary admonished Sarah because she	4	admonished	Activity	AgP
248	124	unexpected	David admonished Sarah because she	4	admonished	Activity	AgP
249	125	expected	Sarah admonished John because she	4	admonished	Activity	AgP
250	125	unexpected	David admonished John because she	4	admonished	Activity	AgP
251	126	expected	Sarah admonished David because she	4	admonished	Activity	AgP
252	126	unexpected	John admonished David because she	4	admonished	Activity	AgP
253	127	expected	Sarah admonished Mary because she	4	admonished	Activity	AgP
254	127	unexpected	John admonished Mary because she	4	admonished	Activity	AgP
255	128	expected	Sarah admonished Mary because she	4	admonished	Activity	AgP
256	128	unexpected	David admonished Mary because she	4	admonished	Activity	AgP
257	129	expected	John adored David because he	4	adored	Psychological	ExpStim
258	129	unexpected	John adored Mary because he	4	adored	Psychological	ExpStim
259	130	expected	John adored David because he	4	adored	Psychological	ExpStim
260	130	unexpected	John adored Sarah because he	4	adored	Psychological	ExpStim
261	131	expected	John adored Mary because she	4	adored	Psychological	ExpStim
262	131	unexpected	John adored David because she	4	adored	Psychological	ExpStim
263	132	expected	John adored Sarah because she	4	adored	Psychological	ExpStim
264	132	unexpected	John adored David because she	4	adored	Psychological	ExpStim
265	133	expected	David adored John because he	4	adored	Psychological	ExpStim
266	133	unexpected	David adored Mary because he	4	adored	Psychological	ExpStim
267	134	expected	David adored John because he	4	adored	Psychological	ExpStim
268	134	unexpected	David adored Sarah because he	4	adored	Psychological	ExpStim
269	135	expected	David adored Mary because she	4	adored	Psychological	ExpStim
270	135	unexpected	David adored John because she	4	adored	Psychological	ExpStim
271	136	expected	David adored Sarah because she	4	adored	Psychological	ExpStim
272	136	unexpected	David adored John because she	4	adored	Psychological	ExpStim
273	137	expected	Mary adored John because he	4	adored	Psychological	ExpStim
274	137	unexpected	Mary adored Sarah because he	4	adored	Psychological	ExpStim
275	138	expected	Mary adored David because he	4	adored	Psychological	ExpStim
276	138	unexpected	Mary adored Sarah because he	4	adored	Psychological	ExpStim
277	139	expected	Mary adored Sarah because she	4	adored	Psychological	ExpStim
278	139	unexpected	Mary adored John because she	4	adored	Psychological	ExpStim
279	140	expected	Mary adored Sarah because she	4	adored	Psychological	ExpStim
280	140	unexpected	Mary adored David because she	4	adored	Psychological	ExpStim
281	141	expected	Sarah adored John because he	4	adored	Psychological	ExpStim
282	141	unexpected	Sarah adored Mary because he	4	adored	Psychological	ExpStim
283	142	expected	Sarah adored David because he	4	adored	Psychological	ExpStim
284	142	unexpected	Sarah adored Mary because he	4	adored	Psychological	ExpStim
285	143	expected	Sarah adored Mary because she	4	adored	Psychological	ExpStim
286	143	unexpected	Sarah adored John because she	4	adored	Psychological	ExpStim
287	144	expected	Sarah adored Mary because she	4	adored	Psychological	ExpStim
288	144	unexpected	Sarah adored David because she	4	adored	Psychological	ExpStim
289	145	expected	John advised David because he	4	advised	Activity	AgP
290	145	unexpected	Mary advised David because he	4	advised	Activity	AgP
291	146	expected	John advised David because he	4	advised	Activity	AgP
292	146	unexpected	Sarah advised David because he	4	advised	Activity	AgP
293	147	expected	John advised Mary because he	4	advised	Activity	AgP
294	147	unexpected	Sarah advised Mary because he	4	advised	Activity	AgP
295	148	expected	John advised Sarah because he	4	advised	Activity	AgP
296	148	unexpected	Mary advised Sarah because he	4	advised	Activity	AgP
297	149	expected	David advised John because he	4	advised	Activity	AgP
298	149	unexpected	Mary advised John because he	4	advised	Activity	AgP
299	150	expected	David advised John because he	4	advised	Activity	AgP
300	150	unexpected	Sarah advised John because he	4	advised	Activity	AgP
301	151	expected	David advised Mary because he	4	advised	Activity	AgP
302	151	unexpected	Sarah advised Mary because he	4	advised	Activity	AgP
303	152	expected	David advised Sarah because he	4	advised	Activity	AgP
304	152	unexpected	Mary advised Sarah because he	4	advised	Activity	AgP
305	153	expected	Mary advised John because she	4	advised	Activity	AgP
306	153	unexpected	David advised John because she	4	advised	Activity	AgP
307	154	expected	Mary advised David because she	4	advised	Activity	AgP
308	154	unexpected	John advised David because she	4	advised	Activity	AgP
309	155	expected	Mary advised Sarah because she	4	advised	Activity	AgP
310	155	unexpected	John advised Sarah because she	4	advised	Activity	AgP
311	156	expected	Mary advised Sarah because she	4	advised	Activity	AgP
312	156	unexpected	David advised Sarah because she	4	advised	Activity	AgP
313	157	expected	Sarah advised John because she	4	advised	Activity	AgP
314	157	unexpected	David advised John because she	4	advised	Activity	AgP
315	158	expected	Sarah advised David because she	4	advised	Activity	AgP
316	158	unexpected	John advised David because she	4	advised	Activity	AgP
317	159	expected	Sarah advised Mary because she	4	advised	Activity	AgP
318	159	unexpected	John advised Mary because she	4	advised	Activity	AgP
319	160	expected	Sarah advised Mary because she	4	advised	Activity	AgP
320	160	unexpected	David advised Mary because she	4	advised	Activity	AgP
321	161	expected	John affected David because he	4	affected	Psychological	StimExp
322	161	unexpected	Mary affected David because he	4	affected	Psychological	StimExp
323	162	expected	John affected David because he	4	affected	Psychological	StimExp
324	162	unexpected	Sarah affected David because he	4	affected	Psychological	StimExp
325	163	expected	John affected Mary because he	4	affected	Psychological	StimExp
326	163	unexpected	Sarah affected Mary because he	4	affected	Psychological	StimExp
327	164	expected	John affected Sarah because he	4	affected	Psychological	StimExp
328	164	unexpected	Mary affected Sarah because he	4	affected	Psychological	StimExp
329	165	expected	David affected John because he	4	affected	Psychological	StimExp
330	165	unexpected	Mary affected John because he	4	affected	Psychological	StimExp
331	166	expected	David affected John because he	4	affected	Psychological	StimExp
332	166	unexpected	Sarah affected John because he	4	affected	Psychological	StimExp
333	167	expected	David affected Mary because he	4	affected	Psychological	StimExp
334	167	unexpected	Sarah affected Mary because he	4	affected	Psychological	StimExp
335	168	expected	David affected Sarah because he	4	affected	Psychological	StimExp
336	168	unexpected	Mary affected Sarah because he	4	affected	Psychological	StimExp
337	169	expected	Mary affected John because she	4	affected	Psychological	StimExp
338	169	unexpected	David affected John because she	4	affected	Psychological	StimExp
339	170	expected	Mary affected David because she	4	affected	Psychological	StimExp
340	170	unexpected	John affected David because she	4	affected	Psychological	StimExp
341	171	expected	Mary affected Sarah because she	4	affected	Psychological	StimExp
342	171	unexpected	John affected Sarah because she	4	affected	Psychological	StimExp
343	172	expected	Mary affected Sarah because she	4	affected	Psychological	StimExp
344	172	unexpected	David affected Sarah because she	4	affected	Psychological	StimExp
345	173	expected	Sarah affected John because she	4	affected	Psychological	StimExp
346	173	unexpected	David affected John because she	4	affected	Psychological	StimExp
347	174	expected	Sarah affected David because she	4	affected	Psychological	StimExp
348	174	unexpected	John affected David because she	4	affected	Psychological	StimExp
349	175	expected	Sarah affected Mary because she	4	affected	Psychological	StimExp
350	175	unexpected	John affected Mary because she	4	affected	Psychological	StimExp
351	176	expected	Sarah affected Mary because she	4	affected	Psychological	StimExp
352	176	unexpected	David affected Mary because she	4	affected	Psychological	StimExp
353	177	expected	John affronted David because he	4	affronted	Psychological	StimExp
354	177	unexpected	Mary affronted David because he	4	affronted	Psychological	StimExp
355	178	expected	John affronted David because he	4	affronted	Psychological	StimExp
356	178	unexpected	Sarah affronted David because he	4	affronted	Psychological	StimExp
357	179	expected	John affronted Mary because he	4	affronted	Psychological	StimExp
358	179	unexpected	Sarah affronted Mary because he	4	affronted	Psychological	StimExp
359	180	expected	John affronted Sarah because he	4	affronted	Psychological	StimExp
360	180	unexpected	Mary affronted Sarah because he	4	affronted	Psychological	StimExp
361	181	expected	David affronted John because he	4	affronted	Psychological	StimExp
362	181	unexpected	Mary affronted John because he	4	affronted	Psychological	StimExp
363	182	expected	David affronted John because he	4	affronted	Psychological	StimExp
364	182	unexpected	Sarah affronted John because he	4	affronted	Psychological	StimExp
365	183	expected	David affronted Mary because he	4	affronted	Psychological	StimExp
366	183	unexpected	Sarah affronted Mary because he	4	affronted	Psychological	StimExp
367	184	expected	David affronted Sarah because he	4	affronted	Psychological	StimExp
368	184	unexpected	Mary affronted Sarah because he	4	affronted	Psychological	StimExp
369	185	expected	Mary affronted John because she	4	affronted	Psychological	StimExp
370	185	unexpected	David affronted John because she	4	affronted	Psychological	StimExp
371	186	expected	Mary affronted David because she	4	affronted	Psychological	StimExp
372	186	unexpected	John affronted David because she	4	affronted	Psychological	StimExp
373	187	expected	Mary affronted Sarah because she	4	affronted	Psychological	StimExp
374	187	unexpected	John affronted Sarah because she	4	affronted	Psychological	StimExp
375	188	expected	Mary affronted Sarah because she	4	affronted	Psychological	StimExp
376	188	unexpected	David affronted Sarah because she	4	affronted	Psychological	StimExp
377	189	expected	Sarah affronted John because she	4	affronted	Psychological	StimExp
378	189	unexpected	David affronted John because she	4	affronted	Psychological	StimExp
379	190	expected	Sarah affronted David because she	4	affronted	Psychological	StimExp
380	190	unexpected	John affronted David because she	4	affronted	Psychological	StimExp
381	191	expected	Sarah affronted Mary because she	4	affronted	Psychological	StimExp
382	191	unexpected	John affronted Mary because she	4	affronted	Psychological	StimExp
383	192	expected	Sarah affronted Mary because she	4	affronted	Psychological	StimExp
384	192	unexpected	David affronted Mary because she	4	affronted	Psychological	StimExp
385	193	expected	John aggravated David because he	4	aggravated	Psychological	StimExp
386	193	unexpected	Mary aggravated David because he	4	aggravated	Psychological	StimExp
387	194	expected	John aggravated David because he	4	aggravated	Psychological	StimExp
388	194	unexpected	Sarah aggravated David because he	4	aggravated	Psychological	StimExp
389	195	expected	John aggravated Mary because he	4	aggravated	Psychological	StimExp
390	195	unexpected	Sarah aggravated Mary because he	4	aggravated	Psychological	StimExp
391	196	expected	John aggravated Sarah because he	4	aggravated	Psychological	StimExp
392	196	unexpected	Mary aggravated Sarah because he	4	aggravated	Psychological	StimExp
393	197	expected	David aggravated John because he	4	aggravated	Psychological	StimExp
394	197	unexpected	Mary aggravated John because he	4	aggravated	Psychological	StimExp
395	198	expected	David aggravated John because he	4	aggravated	Psychological	StimExp
396	198	unexpected	Sarah aggravated John because he	4	aggravated	Psychological	StimExp
397	199	expected	David aggravated Mary because he	4	aggravated	Psychological	StimExp
398	199	unexpected	Sarah aggravated Mary because he	4	aggravated	Psychological	StimExp
399	200	expected	David aggravated Sarah because he	4	aggravated	Psychological	StimExp
400	200	unexpected	Mary aggravated Sarah because he	4	aggravated	Psychological	StimExp
401	201	expected	Mary aggravated John because she	4	aggravated	Psychological	StimExp
402	201	unexpected	David aggravated John because she	4	aggravated	Psychological	StimExp
403	202	expected	Mary aggravated David because she	4	aggravated	Psychological	StimExp
404	202	unexpected	John aggravated David because she	4	aggravated	Psychological	StimExp
405	203	expected	Mary aggravated Sarah because she	4	aggravated	Psychological	StimExp
406	203	unexpected	John aggravated Sarah because she	4	aggravated	Psychological	StimExp
407	204	expected	Mary aggravated Sarah because she	4	aggravated	Psychological	StimExp
