sentid	pairid	comparison	sentence	ROI	verb	semantic	semantic_class_detailed
75	38	expected	Mary accompanied Sarah because she	4	accompanied	Activity	AgP
76	38	unexpected	David accompanied Sarah because she	4	accompanied	Activity	AgP
77	39	expected	Sarah accompanied Mary because she	4	accompanied	Activity	AgP
78	39	unexpected	John accompanied Mary because she	4	accompanied	Activity	AgP
79	40	expected	Sarah accompanied Mary because she	4	accompanied	Activity	AgP
80	40	unexpected	David accompanied Mary because she	4	accompanied	Activity	AgP
81	41	expected	David accused John because he	4	accused	Activity	AgEvo
82	41	unexpected	David accused Mary because he	4	accused	Activity	AgEvo
83	42	expected	David accused John because he	4	accused	Activity	AgEvo
84	42	unexpected	David accused Sarah because he	4	accused	Activity	AgEvo
85	43	expected	John accused David because he	4	accused	Activity	AgEvo
86	43	unexpected	John accused Mary because he	4	accused	Activity	AgEvo
87	44	expected	John accused David because he	4	accused	Activity	AgEvo
88	44	unexpected	John accused Sarah because he	4	accused	Activity	AgEvo
89	45	expected	Sarah accused Mary because she	4	accused	Activity	AgEvo
90	45	unexpected	Sarah accused John because she	4	accused	Activity	AgEvo
91	46	expected	Sarah accused Mary because she	4	accused	Activity	AgEvo
92	46	unexpected	Sarah accused David because she	4	accused	Activity	AgEvo
93	47	expected	Mary accused Sarah because she	4	accused	Activity	AgEvo
94	47	unexpected	Mary accused John because she	4	accused	Activity	AgEvo
95	48	expected	Mary accused Sarah because she	4	accused	Activity	AgEvo
96	48	unexpected	Mary accused David because she	4	accused	Activity	AgEvo
97	49	expected	David admired John because he	4	admired	Psychological	ExpStim
98	49	unexpected	David admired Mary because he	4	admired	Psychological	ExpStim
99	50	expected	David admired John because he	4	admired	Psychological	ExpStim
100	50	unexpected	David admired Sarah because he	4	admired	Psychological	ExpStim
101	51	expected	John admired David because he	4	admired	Psychological	ExpStim
102	51	unexpected	John admired Mary because he	4	admired	Psychological	ExpStim
103	52	expected	John admired David because he	4	admired	Psychological	ExpStim
104	52	unexpected	John admired Sarah because he	4	admired	Psychological	ExpStim
105	53	expected	Sarah admired Mary because she	4	admired	Psychological	ExpStim
106	53	unexpected	Sarah admired John because she	4	admired	Psychological	ExpStim
107	54	expected	Sarah admired Mary because she	4	admired	Psychological	ExpStim
108	54	unexpected	Sarah admired David because she	4	admired	Psychological	ExpStim
109	55	expected	Mary admired Sarah because she	4	admired	Psychological	ExpStim
110	55	unexpected	Mary admired John because she	4	admired	Psychological	ExpStim
111	56	expected	Mary admired Sarah because she	4	admired	Psychological	ExpStim
112	56	unexpected	Mary admired David because she	4	admired	Psychological	ExpStim
113	57	expected	John admonished David because he	4	admonished	Activity	AgP
114	57	unexpected	Mary admonished David because he	4	admonished	Activity	AgP
115	58	expected	John admonished David because he	4	admonished	Activity	AgP
116	58	unexpected	Sarah admonished David because he	4	admonished	Activity	AgP
117	59	expected	David admonished John because he	4	admonished	Activity	AgP
118	59	unexpected	Mary admonished John because he	4	admonished	Activity	AgP
119	60	expected	David admonished John because he	4	admonished	Activity	AgP
120	60	unexpected	Sarah admonished John because he	4	admonished	Activity	AgP
121	61	expected	Mary admonished Sarah because she	4	admonished	Activity	AgP
122	61	unexpected	John admonished Sarah because she	4	admonished	Activity	AgP
123	62	expected	Mary admonished Sarah because she	4	admonished	Activity	AgP
124	62	unexpected	David admonished Sarah because she	4	admonished	Activity	AgP
125	63	expected	Sarah admonished Mary because she	4	admonished	Activity	AgP
126	63	unexpected	John admonished Mary because she	4	admonished	Activity	AgP
127	64	expected	Sarah admonished Mary because she	4	admonished	Activity	AgP
128	64	unexpected	David admonished Mary because she	4	admonished	Activity	AgP
129	65	expected	David adored John because he	4	adored	Psychological	ExpStim
130	65	unexpected	David adored Mary because he	4	adored	Psychological	ExpStim
131	66	expected	David adored John because he	4	adored	Psychological	ExpStim
132	66	unexpected	David adored Sarah because he	4	adored	Psychological	ExpStim
133	67	expected	John adored David because he	4	adored	Psychological	ExpStim
134	67	unexpected	John adored Mary because he	4	adored	Psychological	ExpStim
135	68	expected	John adored David because he	4	adored	Psychological	ExpStim
136	68	unexpected	John adored Sarah because he	4	adored	Psychological	ExpStim
137	69	expected	Sarah adored Mary because she	4	adored	Psychological	ExpStim
138	69	unexpected	Sarah adored John because she	4	adored	Psychological	ExpStim
139	70	expected	Sarah adored Mary because she	4	adored	Psychological	ExpStim
140	70	unexpected	Sarah adored David because she	4	adored	Psychological	ExpStim
141	71	expected	Mary adored Sarah because she	4	adored	Psychological	ExpStim
142	71	unexpected	Mary adored John because she	4	adored	Psychological	ExpStim
143	72	expected	Mary adored Sarah because she	4	adored	Psychological	ExpStim
144	72	unexpected	Mary adored David because she	4	adored	Psychological	ExpStim
145	73	expected	John advised David because he	4	advised	Activity	AgP
146	73	unexpected	Mary advised David because he	4	advised	Activity	AgP
147	74	expected	John advised David because he	4	advised	Activity	AgP
148	74	unexpected	Sarah advised David because he	4	advised	Activity	AgP
149	75	expected	David advised John because he	4	advised	Activity	AgP
150	75	unexpected	Mary advised John because he	4	advised	Activity	AgP
151	76	expected	David advised John because he	4	advised	Activity	AgP
152	76	unexpected	Sarah advised John because he	4	advised	Activity	AgP
153	77	expected	Mary advised Sarah because she	4	advised	Activity	AgP
154	77	unexpected	John advised Sarah because she	4	advised	Activity	AgP
155	78	expected	Mary advised Sarah because she	4	advised	Activity	AgP
156	78	unexpected	David advised Sarah because she	4	advised	Activity	AgP
157	79	expected	Sarah advised Mary because she	4	advised	Activity	AgP
158	79	unexpected	John advised Mary because she	4	advised	Activity	AgP
159	80	expected	Sarah advised Mary because she	4	advised	Activity	AgP
160	80	unexpected	David advised Mary because she	4	advised	Activity	AgP
161	81	expected	John affected David because he	4	affected	Psychological	StimExp
162	81	unexpected	Mary affected David because he	4	affected	Psychological	StimExp
163	82	expected	John affected David because he	4	affected	Psychological	StimExp
164	82	unexpected	Sarah affected David because he	4	affected	Psychological	StimExp
165	83	expected	David affected John because he	4	affected	Psychological	StimExp
166	83	unexpected	Mary affected John because he	4	affected	Psychological	StimExp
167	84	expected	David affected John because he	4	affected	Psychological	StimExp
168	84	unexpected	Sarah affected John because he	4	affected	Psychological	StimExp
169	85	expected	Mary affected Sarah because she	4	affected	Psychological	StimExp
170	85	unexpected	John affected Sarah because she	4	affected	Psychological	StimExp
171	86	expected	Mary affected Sarah because she	4	affected	Psychological	StimExp
172	86	unexpected	David affected Sarah because she	4	affected	Psychological	StimExp
173	87	expected	Sarah affected Mary because she	4	affected	Psychological	StimExp
174	87	unexpected	John affected Mary because she	4	affected	Psychological	StimExp
175	88	expected	Sarah affected Mary because she	4	affected	Psychological	StimExp
176	88	unexpected	David affected Mary because she	4	affected	Psychological	StimExp
177	89	expected	John affronted David because he	4	affronted	Psychological	StimExp
178	89	unexpected	Mary affronted David because he	4	affronted	Psychological	StimExp
179	90	expected	John affronted David because he	4	affronted	Psychological	StimExp
180	90	unexpected	Sarah affronted David because he	4	affronted	Psychological	StimExp
181	91	expected	David affronted John because he	4	affronted	Psychological	StimExp
182	91	unexpected	Mary affronted John because he	4	affronted	Psychological	StimExp
183	92	expected	David affronted John because he	4	affronted	Psychological	StimExp
184	92	unexpected	Sarah affronted John because he	4	affronted	Psychological	StimExp
185	93	expected	Mary affronted Sarah because she	4	affronted	Psychological	StimExp
186	93	unexpected	John affronted Sarah because she	4	affronted	Psychological	StimExp
187	94	expected	Mary affronted Sarah because she	4	affronted	Psychological	StimExp
188	94	unexpected	David affronted Sarah because she	4	affronted	Psychological	StimExp
189	95	expected	Sarah affronted Mary because she	4	affronted	Psychological	StimExp
190	95	unexpected	John affronted Mary because she	4	affronted	Psychological	StimExp
191	96	expected	Sarah affronted Mary because she	4	affronted	Psychological	StimExp
192	96	unexpected	David affronted Mary because she	4	affronted	Psychological	StimExp
193	97	expected	John aggravated David because he	4	aggravated	Psychological	StimExp
194	97	unexpected	Mary aggravated David because he	4	aggravated	Psychological	StimExp
195	98	expected	John aggravated David because he	4	aggravated	Psychological	StimExp
196	98	unexpected	Sarah aggravated David because he	4	aggravated	Psychological	StimExp
197	99	expected	David aggravated John because he	4	aggravated	Psychological	StimExp
198	99	unexpected	Mary aggravated John because he	4	aggravated	Psychological	StimExp
199	100	expected	David aggravated John because he	4	aggravated	Psychological	StimExp
200	100	unexpected	Sarah aggravated John because he	4	aggravated	Psychological	StimExp
201	101	expected	Mary aggravated Sarah because she	4	aggravated	Psychological	StimExp
202	101	unexpected	John aggravated Sarah because she	4	aggravated	Psychological	StimExp
203	102	expected	Mary aggravated Sarah because she	4	aggravated	Psychological	StimExp
204	102	unexpected	David aggravated Sarah because she	4	aggravated	Psychological	StimExp
205	103	expected	Sarah aggravated Mary because she	4	aggravated	Psychological	StimExp
206	103	unexpected	John aggravated Mary because she	4	aggravated	Psychological	StimExp
207	104	expected	Sarah aggravated Mary because she	4	aggravated	Psychological	StimExp
208	104	unexpected	David aggravated Mary because she	4	aggravated	Psychological	StimExp
209	105	expected	John agitated David because he	4	agitated	Psychological	StimExp
210	105	unexpected	Mary agitated David because he	4	agitated	Psychological	StimExp
211	106	expected	John agitated David because he	4	agitated	Psychological	StimExp
212	106	unexpected	Sarah agitated David because he	4	agitated	Psychological	StimExp
213	107	expected	David agitated John because he	4	agitated	Psychological	StimExp
214	107	unexpected	Mary agitated John because he	4	agitated	Psychological	StimExp
215	108	expected	David agitated John because he	4	agitated	Psychological	StimExp
216	108	unexpected	Sarah agitated John because he	4	agitated	Psychological	StimExp
217	109	expected	Mary agitated Sarah because she	4	agitated	Psychological	StimExp
218	109	unexpected	John agitated Sarah because she	4	agitated	Psychological	StimExp
219	110	expected	Mary agitated Sarah because she	4	agitated	Psychological	StimExp
220	110	unexpected	David agitated Sarah because she	4	agitated	Psychological	StimExp
221	111	expected	Sarah agitated Mary because she	4	agitated	Psychological	StimExp
222	111	unexpected	John agitated Mary because she	4	agitated	Psychological	StimExp
223	112	expected	Sarah agitated Mary because she	4	agitated	Psychological	StimExp
224	112	unexpected	David agitated Mary because she	4	agitated	Psychological	StimExp
225	113	expected	John alarmed David because he	4	alarmed	Psychological	StimExp
226	113	unexpected	Mary alarmed David because he	4	alarmed	Psychological	StimExp
227	114	expected	John alarmed David because he	4	alarmed	Psychological	StimExp
228	114	unexpected	Sarah alarmed David because he	4	alarmed	Psychological	StimExp
229	115	expected	David alarmed John because he	4	alarmed	Psychological	StimExp
230	115	unexpected	Mary alarmed John because he	4	alarmed	Psychological	StimExp
231	116	expected	David alarmed John because he	4	alarmed	Psychological	StimExp
232	116	unexpected	Sarah alarmed John because he	4	alarmed	Psychological	StimExp
233	117	expected	Mary alarmed Sarah because she	4	alarmed	Psychological	StimExp
234	117	unexpected	John alarmed Sarah because she	4	alarmed	Psychological	StimExp
235	118	expected	Mary alarmed Sarah because she	4	alarmed	Psychological	StimExp
236	118	unexpected	David alarmed Sarah because she	4	alarmed	Psychological	StimExp
237	119	expected	Sarah alarmed Mary because she	4	alarmed	Psychological	StimExp
238	119	unexpected	John alarmed Mary because she	4	alarmed	Psychological	StimExp
239	120	expected	Sarah alarmed Mary because she	4	alarmed	Psychological	StimExp
240	120	unexpected	David alarmed Mary because she	4	alarmed	Psychological	StimExp
241	121	expected	John alienated David because he	4	alienated	Activity	AgP
242	121	unexpected	Mary alienated David because he	4	alienated	Activity	AgP
243	122	expected	John alienated David because he	4	alienated	Activity	AgP
244	122	unexpected	Sarah alienated David because he	4	alienated	Activity	AgP
245	123	expected	David alienated John because he	4	alienated	Activity	AgP
246	123	unexpected	Mary alienated John because he	4	alienated	Activity	AgP
247	124	expected	David alienated John because he	4	alienated	Activity	AgP
248	124	unexpected	Sarah alienated John because he	4	alienated	Activity	AgP
249	125	expected	Mary alienated Sarah because she	4	alienated	Activity	AgP
250	125	unexpected	John alienated Sarah because she	4	alienated	Activity	AgP
251	126	expected	Mary alienated Sarah because she	4	alienated	Activity	AgP
252	126	unexpected	David alienated Sarah because she	4	alienated	Activity	AgP
253	127	expected	Sarah alienated Mary because she	4	alienated	Activity	AgP
254	127	unexpected	John alienated Mary because she	4	alienated	Activity	AgP
255	128	expected	Sarah alienated Mary because she	4	alienated	Activity	AgP
256	128	unexpected	David alienated Mary because she	4	alienated	Activity	AgP
257	129	expected	John amazed David because he	4	amazed	Psychological	StimExp
258	129	unexpected	Mary amazed David because he	4	amazed	Psychological	StimExp
259	130	expected	John amazed David because he	4	amazed	Psychological	StimExp
260	130	unexpected	Sarah amazed David because he	4	amazed	Psychological	StimExp
261	131	expected	David amazed John because he	4	amazed	Psychological	StimExp
262	131	unexpected	Mary amazed John because he	4	amazed	Psychological	StimExp
263	132	expected	David amazed John because he	4	amazed	Psychological	StimExp
264	132	unexpected	Sarah amazed John because he	4	amazed	Psychological	StimExp
265	133	expected	Mary amazed Sarah because she	4	amazed	Psychological	StimExp
266	133	unexpected	John amazed Sarah because she	4	amazed	Psychological	StimExp
267	134	expected	Mary amazed Sarah because she	4	amazed	Psychological	StimExp
268	134	unexpected	David amazed Sarah because she	4	amazed	Psychological	StimExp
269	135	expected	Sarah amazed Mary because she	4	amazed	Psychological	StimExp
270	135	unexpected	John amazed Mary because she	4	amazed	Psychological	StimExp
271	136	expected	Sarah amazed Mary because she	4	amazed	Psychological	StimExp
272	136	unexpected	David amazed Mary because she	4	amazed	Psychological	StimExp
273	137	expected	John amused David because he	4	amused	Psychological	StimExp
274	137	unexpected	Mary amused David because he	4	amused	Psychological	StimExp
275	138	expected	John amused David because he	4	amused	Psychological	StimExp
276	138	unexpected	Sarah amused David because he	4	amused	Psychological	StimExp
277	139	expected	David amused John because he	4	amused	Psychological	StimExp
278	139	unexpected	Mary amused John because he	4	amused	Psychological	StimExp
279	140	expected	David amused John because he	4	amused	Psychological	StimExp
280	140	unexpected	Sarah amused John because he	4	amused	Psychological	StimExp
281	141	expected	Mary amused Sarah because she	4	amused	Psychological	StimExp
282	141	unexpected	John amused Sarah because she	4	amused	Psychological	StimExp
283	142	expected	Mary amused Sarah because she	4	amused	Psychological	StimExp
284	142	unexpected	David amused Sarah because she	4	amused	Psychological	StimExp
285	143	expected	Sarah amused Mary because she	4	amused	Psychological	StimExp
286	143	unexpected	John amused Mary because she	4	amused	Psychological	StimExp
287	144	expected	Sarah amused Mary because she	4	amused	Psychological	StimExp
288	144	unexpected	David amused Mary because she	4	amused	Psychological	StimExp
289	145	expected	John angered David because he	4	angered	Psychological	StimExp
290	145	unexpected	Mary angered David because he	4	angered	Psychological	StimExp
291	146	expected	John angered David because he	4	angered	Psychological	StimExp
292	146	unexpected	Sarah angered David because he	4	angered	Psychological	StimExp
293	147	expected	David angered John because he	4	angered	Psychological	StimExp
294	147	unexpected	Mary angered John because he	4	angered	Psychological	StimExp
295	148	expected	David angered John because he	4	angered	Psychological	StimExp
296	148	unexpected	Sarah angered John because he	4	angered	Psychological	StimExp
297	149	expected	Mary angered Sarah because she	4	angered	Psychological	StimExp
298	149	unexpected	John angered Sarah because she	4	angered	Psychological	StimExp
299	150	expected	Mary angered Sarah because she	4	angered	Psychological	StimExp
300	150	unexpected	David angered Sarah because she	4	angered	Psychological	StimExp
301	151	expected	Sarah angered Mary because she	4	angered	Psychological	StimExp
302	151	unexpected	John angered Mary because she	4	angered	Psychological	StimExp
303	152	expected	Sarah angered Mary because she	4	angered	Psychological	StimExp
304	152	unexpected	David angered Mary because she	4	angered	Psychological	StimExp
305	153	expected	John annoyed David because he	4	annoyed	Psychological	StimExp
306	153	unexpected	Mary annoyed David because he	4	annoyed	Psychological	StimExp
307	154	expected	John annoyed David because he	4	annoyed	Psychological	StimExp
308	154	unexpected	Sarah annoyed David because he	4	annoyed	Psychological	StimExp
309	155	expected	David annoyed John because he	4	annoyed	Psychological	StimExp
310	155	unexpected	Mary annoyed John because he	4	annoyed	Psychological	StimExp
311	156	expected	David annoyed John because he	4	annoyed	Psychological	StimExp
312	156	unexpected	Sarah annoyed John because he	4	annoyed	Psychological	StimExp
313	157	expected	Mary annoyed Sarah because she	4	annoyed	Psychological	StimExp
314	157	unexpected	John annoyed Sarah because she	4	annoyed	Psychological	StimExp
315	158	expected	Mary annoyed Sarah because she	4	annoyed	Psychological	StimExp
316	158	unexpected	David annoyed Sarah because she	4	annoyed	Psychological	StimExp
317	159	expected	Sarah annoyed Mary because she	4	annoyed	Psychological	StimExp
318	159	unexpected	John annoyed Mary because she	4	annoyed	Psychological	StimExp
319	160	expected	Sarah annoyed Mary because she	4	annoyed	Psychological	StimExp
320	160	unexpected	David annoyed Mary because she	4	annoyed	Psychological	StimExp
321	161	expected	John answered David because he	4	answered	Activity	AgP
322	161	unexpected	Mary answered David because he	4	answered	Activity	AgP
323	162	expected	John answered David because he	4	answered	Activity	AgP
324	162	unexpected	Sarah answered David because he	4	answered	Activity	AgP
325	163	expected	David answered John because he	4	answered	Activity	AgP
326	163	unexpected	Mary answered John because he	4	answered	Activity	AgP
327	164	expected	David answered John because he	4	answered	Activity	AgP
328	164	unexpected	Sarah answered John because he	4	answered	Activity	AgP
329	165	expected	Mary answered Sarah because she	4	answered	Activity	AgP
330	165	unexpected	John answered Sarah because she	4	answered	Activity	AgP
331	166	expected	Mary answered Sarah because she	4	answered	Activity	AgP
332	166	unexpected	David answered Sarah because she	4	answered	Activity	AgP
333	167	expected	Sarah answered Mary because she	4	answered	Activity	AgP
334	167	unexpected	John answered Mary because she	4	answered	Activity	AgP
335	168	expected	Sarah answered Mary because she	4	answered	Activity	AgP
336	168	unexpected	David answered Mary because she	4	answered	Activity	AgP
337	169	expected	John antagonized David because he	4	antagonized	Psychological	StimExp
338	169	unexpected	Mary antagonized David because he	4	antagonized	Psychological	StimExp
339	170	expected	John antagonized David because he	4	antagonized	Psychological	StimExp
340	170	unexpected	Sarah antagonized David because he	4	antagonized	Psychological	StimExp
341	171	expected	David antagonized John because he	4	antagonized	Psychological	StimExp
342	171	unexpected	Mary antagonized John because he	4	antagonized	Psychological	StimExp
343	172	expected	David antagonized John because he	4	antagonized	Psychological	StimExp
344	172	unexpected	Sarah antagonized John because he	4	antagonized	Psychological	StimExp
345	173	expected	Mary antagonized Sarah because she	4	antagonized	Psychological	StimExp
346	173	unexpected	John antagonized Sarah because she	4	antagonized	Psychological	StimExp
347	174	expected	Mary antagonized Sarah because she	4	antagonized	Psychological	StimExp
348	174	unexpected	David antagonized Sarah because she	4	antagonized	Psychological	StimExp
349	175	expected	Sarah antagonized Mary because she	4	antagonized	Psychological	StimExp
350	175	unexpected	John antagonized Mary because she	4	antagonized	Psychological	StimExp
351	176	expected	Sarah antagonized Mary because she	4	antagonized	Psychological	StimExp
352	176	unexpected	David antagonized Mary because she	4	antagonized	Psychological	StimExp
353	177	expected	David apologized to John because he	5	apologized to	Activity	AgEvo
354	177	unexpected	David apologized to Mary because he	5	apologized to	Activity	AgEvo
355	178	expected	David apologized to John because he	5	apologized to	Activity	AgEvo
356	178	unexpected	David apologized to Sarah because he	5	apologized to	Activity	AgEvo
357	179	expected	John apologized to David because he	5	apologized to	Activity	AgEvo
358	179	unexpected	John apologized to Mary because he	5	apologized to	Activity	AgEvo
359	180	expected	John apologized to David because he	5	apologized to	Activity	AgEvo
360	180	unexpected	John apologized to Sarah because he	5	apologized to	Activity	AgEvo
361	181	expected	Sarah apologized to Mary because she	5	apologized to	Activity	AgEvo
362	181	unexpected	Sarah apologized to John because she	5	apologized to	Activity	AgEvo
363	182	expected	Sarah apologized to Mary because she	5	apologized to	Activity	AgEvo
364	182	unexpected	Sarah apologized to David because she	5	apologized to	Activity	AgEvo
365	183	expected	Mary apologized to Sarah because she	5	apologized to	Activity	AgEvo
366	183	unexpected	Mary apologized to John because she	5	apologized to	Activity	AgEvo
367	184	expected	Mary apologized to Sarah because she	5	apologized to	Activity	AgEvo
368	184	unexpected	Mary apologized to David because she	5	apologized to	Activity	AgEvo
369	185	expected	John appalled David because he	4	appalled	Psychological	StimExp
370	185	unexpected	Mary appalled David because he	4	appalled	Psychological	StimExp
371	186	expected	John appalled David because he	4	appalled	Psychological	StimExp
372	186	unexpected	Sarah appalled David because he	4	appalled	Psychological	StimExp
373	187	expected	David appalled John because he	4	appalled	Psychological	StimExp
374	187	unexpected	Mary appalled John because he	4	appalled	Psychological	StimExp
375	188	expected	David appalled John because he	4	appalled	Psychological	StimExp
376	188	unexpected	Sarah appalled John because he	4	appalled	Psychological	StimExp
377	189	expected	Mary appalled Sarah because she	4	appalled	Psychological	StimExp
378	189	unexpected	John appalled Sarah because she	4	appalled	Psychological	StimExp
379	190	expected	Mary appalled Sarah because she	4	appalled	Psychological	StimExp
380	190	unexpected	David appalled Sarah because she	4	appalled	Psychological	StimExp
381	191	expected	Sarah appalled Mary because she	4	appalled	Psychological	StimExp
382	191	unexpected	John appalled Mary because she	4	appalled	Psychological	StimExp
383	192	expected	Sarah appalled Mary because she	4	appalled	Psychological	StimExp
384	192	unexpected	David appalled Mary because she	4	appalled	Psychological	StimExp
385	193	expected	John appeased David because he	4	appeased	Psychological	StimExp
386	193	unexpected	Mary appeased David because he	4	appeased	Psychological	StimExp
387	194	expected	John appeased David because he	4	appeased	Psychological	StimExp
388	194	unexpected	Sarah appeased David because he	4	appeased	Psychological	StimExp
389	195	expected	David appeased John because he	4	appeased	Psychological	StimExp
390	195	unexpected	Mary appeased John because he	4	appeased	Psychological	StimExp
391	196	expected	David appeased John because he	4	appeased	Psychological	StimExp
392	196	unexpected	Sarah appeased John because he	4	appeased	Psychological	StimExp
393	197	expected	Mary appeased Sarah because she	4	appeased	Psychological	StimExp
394	197	unexpected	John appeased Sarah because she	4	appeased	Psychological	StimExp
395	198	expected	Mary appeased Sarah because she	4	appeased	Psychological	StimExp
396	198	unexpected	David appeased Sarah because she	4	appeased	Psychological	StimExp
397	199	expected	Sarah appeased Mary because she	4	appeased	Psychological	StimExp
398	199	unexpected	John appeased Mary because she	4	appeased	Psychological	StimExp
399	200	expected	Sarah appeased Mary because she	4	appeased	Psychological	StimExp
400	200	unexpected	David appeased Mary because she	4	appeased	Psychological	StimExp
401	201	expected	David applauded John because he	4	applauded	Activity	AgEvo
402	201	unexpected	David applauded Mary because he	4	applauded	Activity	AgEvo
403	202	expected	David applauded John because he	4	applauded	Activity	AgEvo
404	202	unexpected	David applauded Sarah because he	4	applauded	Activity	AgEvo
405	203	expected	John applauded David because he	4	applauded	Activity	AgEvo
406	203	unexpected	John applauded Mary because he	4	applauded	Activity	AgEvo
