sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency
186	93	unexpected	Jennifer denigrated David because he	4	denigrated	low	0
187	94	expected	David denounced Daniel because he	4	denounced	low	10
188	94	unexpected	Linda denounced Daniel because he	4	denounced	low	10
189	95	expected	Richard deplored David because he	4	deplored	low	10
190	95	unexpected	Grace deplored David because he	4	deplored	low	10
191	96	expected	James deprecated John because he	4	deprecated	low	0
192	96	unexpected	Grace deprecated John because he	4	deprecated	low	0
193	97	expected	David derided Richard because he	4	derided	low	3
194	97	unexpected	Grace derided Richard because he	4	derided	low	3
195	98	expected	Daniel deserted Mark because he	4	deserted	low	13
196	98	unexpected	Emily deserted Mark because he	4	deserted	low	13
197	99	expected	Robert despised James because he	4	despised	low	23
198	99	unexpected	Emily despised James because he	4	despised	low	23
199	100	expected	James detested Robert because he	4	detested	low	10
200	100	unexpected	Susan detested Robert because he	4	detested	low	10
201	101	expected	Michael disappointed Robert because he	4	disappointed	low	3
202	101	unexpected	Jessica disappointed Robert because he	4	disappointed	low	3
203	102	expected	William discouraged David because he	4	discouraged	high	666
204	102	unexpected	Mary discouraged David because he	4	discouraged	high	666
205	103	expected	Thomas disdained David because he	4	disdained	high	55
206	103	unexpected	Lily disdained David because he	4	disdained	high	55
207	104	expected	Mark disgruntled James because he	4	disgruntled	high	58
208	104	unexpected	Sarah disgruntled James because he	4	disgruntled	high	58
209	105	expected	Robert disliked Michael because he	4	disliked	high	166
210	105	unexpected	Emily disliked Michael because he	4	disliked	high	166
211	106	expected	David disobeyed James because he	4	disobeyed	low	10
212	106	unexpected	Emily disobeyed James because he	4	disobeyed	low	10
213	107	expected	Robert disparaged Michael because he	4	disparaged	low	0
214	107	unexpected	Jessica disparaged Michael because he	4	disparaged	low	0
215	108	expected	Mark distracted Robert because he	4	distracted	low	1
216	108	unexpected	Grace distracted Robert because he	4	distracted	low	1
217	109	expected	Mark distressed John because he	4	distressed	low	1
218	109	unexpected	Sarah distressed John because he	4	distressed	low	1
219	110	expected	Robert distrusted David because he	4	distrusted	high	63
220	110	unexpected	Jennifer distrusted David because he	4	distrusted	high	63
221	111	expected	Robert divorced David because he	4	divorced	high	42
222	111	unexpected	Lily divorced David because he	4	divorced	high	42
223	112	expected	Mark dominated Michael because he	4	dominated	high	337
224	112	unexpected	Elizabeth dominated Michael because he	4	dominated	high	337
225	113	expected	Robert dreaded James because he	4	dreaded	high	99
226	113	unexpected	Emily dreaded James because he	4	dreaded	high	99
227	114	expected	James dreamed about Robert because he	5	dreamed about	high	24
228	114	unexpected	Sarah dreamed about Robert because he	5	dreamed about	high	24
229	115	expected	Thomas dumbfounded Robert because he	4	dumbfounded	low	0
230	115	unexpected	Mary dumbfounded Robert because he	4	dumbfounded	low	0
231	116	expected	David echoed Richard because he	4	echoed	high	33
232	116	unexpected	Elizabeth echoed Richard because he	4	echoed	high	33
233	117	expected	John embraced Daniel because he	4	embraced	low	0
234	117	unexpected	Emily embraced Daniel because he	4	embraced	low	0
235	118	expected	Michael employed Robert because he	4	employed	high	27
236	118	unexpected	Jennifer employed Robert because he	4	employed	high	27
237	119	expected	Thomas encouraged Mark because he	4	encouraged	low	2
238	119	unexpected	Susan encouraged Mark because he	4	encouraged	low	2
239	120	expected	Mark enlightened John because he	4	enlightened	low	2
240	120	unexpected	Lily enlightened John because he	4	enlightened	low	2
241	121	expected	David enlivened Michael because he	4	enlivened	high	79
242	121	unexpected	Sarah enlivened Michael because he	4	enlivened	high	79
243	122	expected	John enraged William because he	4	enraged	high	25
244	122	unexpected	Grace enraged William because he	4	enraged	high	25
245	123	expected	Mark enthralled Michael because he	4	enthralled	low	6
246	123	unexpected	Susan enthralled Michael because he	4	enthralled	low	6
247	124	expected	Michael enticed John because he	4	enticed	low	3
248	124	unexpected	Elizabeth enticed John because he	4	enticed	low	3
249	125	expected	William entranced John because he	4	entranced	low	9
250	125	unexpected	Emily entranced John because he	4	entranced	low	9
251	126	expected	James envied Daniel because he	4	envied	high	245
252	126	unexpected	Lily envied Daniel because he	4	envied	high	245
253	127	expected	William escorted Mark because he	4	escorted	high	114
254	127	unexpected	Susan escorted Mark because he	4	escorted	high	114
255	128	expected	Daniel esteemed Michael because he	4	esteemed	high	66
256	128	unexpected	Linda esteemed Michael because he	4	esteemed	high	66
257	129	expected	Michael exalted Daniel because he	4	exalted	low	0
258	129	unexpected	Susan exalted Daniel because he	4	exalted	low	0
259	130	expected	John exasperated Michael because he	4	exasperated	low	3
260	130	unexpected	Emily exasperated Michael because he	4	exasperated	low	3
261	131	expected	Richard excited James because he	4	excited	low	1
262	131	unexpected	Elizabeth excited James because he	4	excited	low	1
263	132	expected	Michael excused David because he	4	excused	high	381
264	132	unexpected	Susan excused David because he	4	excused	high	381
265	133	expected	John exhausted Thomas because he	4	exhausted	high	96
266	133	unexpected	Linda exhausted Thomas because he	4	exhausted	high	96
267	134	expected	James exhilarated Thomas because he	4	exhilarated	high	230
268	134	unexpected	Emily exhilarated Thomas because he	4	exhilarated	high	230
269	135	expected	Robert fancied James because he	4	fancied	high	86
270	135	unexpected	Linda fancied James because he	4	fancied	high	86
271	136	expected	John fascinated James because he	4	fascinated	low	0
272	136	unexpected	Susan fascinated James because he	4	fascinated	low	0
273	137	expected	William favoured Robert because he	4	favoured	high	995
274	137	unexpected	Lily favoured Robert because he	4	favoured	high	995
275	138	expected	Robert fazed William because he	4	fazed	high	242
276	138	unexpected	Sarah fazed William because he	4	fazed	high	242
277	139	expected	Richard feared Mark because he	4	feared	high	106
278	139	unexpected	Emily feared Mark because he	4	feared	high	106
279	140	expected	John fed David because he	4	fed	high	283
280	140	unexpected	Elizabeth fed David because he	4	fed	high	283
281	141	expected	Michael filmed Robert because he	4	filmed	low	5
282	141	unexpected	Mary filmed Robert because he	4	filmed	low	5
283	142	expected	David flabbergasted Richard because he	4	flabbergasted	low	4
284	142	unexpected	Emily flabbergasted Richard because he	4	flabbergasted	low	4
285	143	expected	William flattered Richard because he	4	flattered	low	0
286	143	unexpected	Grace flattered Richard because he	4	flattered	low	0
287	144	expected	Mark floored David because he	4	floored	low	3
288	144	unexpected	Susan floored David because he	4	floored	low	3
289	145	expected	Daniel followed James because he	4	followed	high	129
290	145	unexpected	Elizabeth followed James because he	4	followed	high	129
291	146	expected	John fooled Richard because he	4	fooled	low	17
292	146	unexpected	Mary fooled Richard because he	4	fooled	low	17
293	147	expected	Mark forgave Daniel because he	4	forgave	high	43
294	147	unexpected	Linda forgave Daniel because he	4	forgave	high	43
295	148	expected	William forgot Richard because he	4	forgot	high	348
296	148	unexpected	Lily forgot Richard because he	4	forgot	high	348
297	149	expected	William fought Daniel because he	4	fought	high	554
298	149	unexpected	Lily fought Daniel because he	4	fought	high	554
299	150	expected	Robert freed Mark because he	4	freed	high	38
300	150	unexpected	Elizabeth freed Mark because he	4	freed	high	38
301	151	expected	Richard frightened William because he	4	frightened	high	547
302	151	unexpected	Susan frightened William because he	4	frightened	high	547
303	152	expected	Robert frustrated Mark because he	4	frustrated	low	0
304	152	unexpected	Jennifer frustrated Mark because he	4	frustrated	low	0
305	153	expected	James galled Richard because he	4	galled	high	126
306	153	unexpected	Susan galled Richard because he	4	galled	high	126
307	154	expected	Michael gladdened Robert because he	4	gladdened	high	28
308	154	unexpected	Susan gladdened Robert because he	4	gladdened	high	28
309	155	expected	Mark grabbed John because he	4	grabbed	high	160
310	155	unexpected	Elizabeth grabbed John because he	4	grabbed	high	160
311	156	expected	Robert grazed James because he	4	grazed	low	0
312	156	unexpected	Susan grazed James because he	4	grazed	low	0
313	157	expected	Daniel greeted William because he	4	greeted	high	68
314	157	unexpected	Jessica greeted William because he	4	greeted	high	68
315	158	expected	Thomas grieved Daniel because he	4	grieved	low	6
316	158	unexpected	Linda grieved Daniel because he	4	grieved	low	6
317	159	expected	Mark guided Thomas because he	4	guided	high	475
318	159	unexpected	Jennifer guided Thomas because he	4	guided	high	475
319	160	expected	David hailed Robert because he	4	hailed	high	66
320	160	unexpected	Sarah hailed Robert because he	4	hailed	high	66
321	161	expected	Daniel harassed William because he	4	harassed	high	36
322	161	unexpected	Lily harassed William because he	4	harassed	high	36
323	162	expected	James harmed Robert because he	4	harmed	high	82
324	162	unexpected	Linda harmed Robert because he	4	harmed	high	82
325	163	expected	James hated Michael because he	4	hated	high	263
326	163	unexpected	Mary hated Michael because he	4	hated	high	263
327	164	expected	John haunted James because he	4	haunted	low	23
328	164	unexpected	Jessica haunted James because he	4	haunted	low	23
329	165	expected	Daniel helped David because he	4	helped	high	278
330	165	unexpected	Jessica helped David because he	4	helped	high	278
331	166	expected	Richard hired James because he	4	hired	high	96
332	166	unexpected	Susan hired James because he	4	hired	high	96
333	167	expected	Thomas hit Richard because he	4	hit	high	164
334	167	unexpected	Linda hit Richard because he	4	hit	high	164
335	168	expected	Michael honoured John because he	4	honoured	high	596
336	168	unexpected	Lily honoured John because he	4	honoured	high	596
337	169	expected	Richard hugged James because he	4	hugged	low	9
338	169	unexpected	Jennifer hugged James because he	4	hugged	low	9
339	170	expected	Mark hurt Thomas because he	4	hurt	low	1
340	170	unexpected	Mary hurt Thomas because he	4	hurt	low	1
341	171	expected	Mark idolized James because he	4	idolized	low	2
342	171	unexpected	Lily idolized James because he	4	idolized	low	2
343	172	expected	Thomas incensed Michael because he	4	incensed	low	5
344	172	unexpected	Jessica incensed Michael because he	4	incensed	low	5
345	173	expected	Mark infuriated Daniel because he	4	infuriated	low	1
346	173	unexpected	Grace infuriated Daniel because he	4	infuriated	low	1
347	174	expected	William inspired Thomas because he	4	inspired	low	6
348	174	unexpected	Grace inspired Thomas because he	4	inspired	low	6
349	175	expected	Mark instructed Richard because he	4	instructed	low	14
350	175	unexpected	Sarah instructed Richard because he	4	instructed	low	14
351	176	expected	Thomas insulted Michael because he	4	insulted	low	20
352	176	unexpected	Jessica insulted Michael because he	4	insulted	low	20
353	177	expected	Thomas interrupted Robert because he	4	interrupted	high	38
354	177	unexpected	Linda interrupted Robert because he	4	interrupted	high	38
355	178	expected	Robert intimidated Mark because he	4	intimidated	high	320
356	178	unexpected	Jessica intimidated Mark because he	4	intimidated	high	320
357	179	expected	James intrigued Robert because he	4	intrigued	low	17
358	179	unexpected	Jessica intrigued Robert because he	4	intrigued	low	17
359	180	expected	David invigorated Robert because he	4	invigorated	high	842
360	180	unexpected	Linda invigorated Robert because he	4	invigorated	high	842
361	181	expected	Robert irritated William because he	4	irritated	low	5
362	181	unexpected	Emily irritated William because he	4	irritated	low	5
363	182	expected	Mark jollified David because he	4	jollified	low	0
364	182	unexpected	Jennifer jollified David because he	4	jollified	low	0
365	183	expected	Michael jolted James because he	4	jolted	low	10
366	183	unexpected	Susan jolted James because he	4	jolted	low	10
367	184	expected	Michael killed James because he	4	killed	high	984
368	184	unexpected	Lily killed James because he	4	killed	high	984
369	185	expected	Richard kissed Daniel because he	4	kissed	low	1
370	185	unexpected	Emily kissed Daniel because he	4	kissed	low	1
371	186	expected	Mark lauded Thomas because he	4	lauded	low	0
372	186	unexpected	Susan lauded Thomas because he	4	lauded	low	0
373	187	expected	John laughed at James because he	5	laughed at	low	0
374	187	unexpected	Susan laughed at James because he	5	laughed at	low	0
375	188	expected	Richard led John because he	4	led	high	490
376	188	unexpected	Grace led John because he	4	led	high	490
377	189	expected	Richard left Thomas because he	4	left	high	175
378	189	unexpected	Mary left Thomas because he	4	left	high	175
379	190	expected	William lied to Robert because he	5	lied to	high	133
380	190	unexpected	Susan lied to Robert because he	5	lied to	high	133
381	191	expected	Richard liked Mark because he	4	liked	low	0
382	191	unexpected	Sarah liked Mark because he	4	liked	low	0
383	192	expected	Daniel loathed James because he	4	loathed	low	9
384	192	unexpected	Jessica loathed James because he	4	loathed	low	9
385	193	expected	James loved Robert because he	4	loved	high	284
386	193	unexpected	Susan loved Robert because he	4	loved	high	284
387	194	expected	Thomas maddened John because he	4	maddened	low	2
388	194	unexpected	Susan maddened John because he	4	maddened	low	2
389	195	expected	William married Richard because he	4	married	high	195
390	195	unexpected	Jennifer married Richard because he	4	married	high	195
391	196	expected	Thomas mesmerised Michael because he	4	mesmerised	low	8
392	196	unexpected	Grace mesmerised Michael because he	4	mesmerised	low	8
393	197	expected	Mark met John because he	4	met	high	530
394	197	unexpected	Susan met John because he	4	met	high	530
395	198	expected	Daniel missed John because he	4	missed	high	83
396	198	unexpected	Lily missed John because he	4	missed	high	83
397	199	expected	Richard mocked Michael because he	4	mocked	low	3
398	199	unexpected	Jessica mocked Michael because he	4	mocked	low	3
399	200	expected	Michael mollified John because he	4	mollified	low	2
400	200	unexpected	Elizabeth mollified John because he	4	mollified	low	2
401	201	expected	Richard mourned William because he	4	mourned	low	10
402	201	unexpected	Linda mourned William because he	4	mourned	low	10
403	202	expected	Thomas moved William because he	4	moved	high	628
404	202	unexpected	Emily moved William because he	4	moved	high	628
405	203	expected	Richard nettled Robert because he	4	nettled	high	26
406	203	unexpected	Susan nettled Robert because he	4	nettled	high	26
407	204	expected	Robert noticed David because he	4	noticed	high	844
408	204	unexpected	Jessica noticed David because he	4	noticed	high	844
409	205	expected	John nuzzled Mark because he	4	nuzzled	high	28
410	205	unexpected	Mary nuzzled Mark because he	4	nuzzled	high	28
411	206	expected	William ordered around James because he	5	ordered around	low	1
412	206	unexpected	Lily ordered around James because he	5	ordered around	low	1
413	207	expected	John pacified Daniel because he	4	pacified	low	4
414	207	unexpected	Linda pacified Daniel because he	4	pacified	low	4
415	208	expected	James pained John because he	4	pained	low	6
416	208	unexpected	Grace pained John because he	4	pained	low	6
417	209	expected	Michael pardoned James because he	4	pardoned	high	104
418	209	unexpected	Jennifer pardoned James because he	4	pardoned	high	104
419	210	expected	Thomas passed David because he	4	passed	high	357
420	210	unexpected	Grace passed David because he	4	passed	high	357
421	211	expected	James peeved Thomas because he	4	peeved	high	931
422	211	unexpected	Elizabeth peeved Thomas because he	4	peeved	high	931
423	212	expected	William penalized Michael because he	4	penalized	low	3
424	212	unexpected	Grace penalized Michael because he	4	penalized	low	3
425	213	expected	Daniel persecuted David because he	4	persecuted	low	4
426	213	unexpected	Jennifer persecuted David because he	4	persecuted	low	4
427	214	expected	Robert petted David because he	4	petted	high	230
428	214	unexpected	Grace petted David because he	4	petted	high	230
429	215	expected	John picked up Robert because he	5	picked up	low	0
430	215	unexpected	Grace picked up Robert because he	5	picked up	low	0
431	216	expected	Richard pitied Daniel because he	4	pitied	high	512
432	216	unexpected	Linda pitied Daniel because he	4	pitied	high	512
433	217	expected	David placated James because he	4	placated	low	8
434	217	unexpected	Lily placated James because he	4	placated	low	8
435	218	expected	Robert plagued David because he	4	plagued	low	9
436	218	unexpected	Grace plagued David because he	4	plagued	low	9
437	219	expected	John played William because he	4	played	low	0
438	219	unexpected	Sarah played William because he	4	played	low	0
439	220	expected	Richard played with William because he	5	played with	low	0
440	220	unexpected	Lily played with William because he	5	played with	low	0
441	221	expected	Mark pleased William because he	4	pleased	low	0
442	221	unexpected	Mary pleased William because he	4	pleased	low	0
443	222	expected	Richard praised Thomas because he	4	praised	high	226
444	222	unexpected	Lily praised Thomas because he	4	praised	high	226
445	223	expected	Richard prized William because he	4	prized	high	330
446	223	unexpected	Jessica prized William because he	4	prized	high	330
447	224	expected	Michael prosecuted Richard because he	4	prosecuted	low	15
448	224	unexpected	Jennifer prosecuted Richard because he	4	prosecuted	low	15
449	225	expected	Mark protected Robert because he	4	protected	high	212
450	225	unexpected	Grace protected Robert because he	4	protected	high	212
451	226	expected	Mark provoked Thomas because he	4	provoked	high	35
452	226	unexpected	Jessica provoked Thomas because he	4	provoked	high	35
453	227	expected	Richard punished Robert because he	4	punished	high	38
454	227	unexpected	Emily punished Robert because he	4	punished	high	38
455	228	expected	James pursued David because he	4	pursued	low	19
456	228	unexpected	Elizabeth pursued David because he	4	pursued	low	19
457	229	expected	Thomas questioned James because he	4	questioned	high	35
458	229	unexpected	Jessica questioned James because he	4	questioned	high	35
459	230	expected	Daniel reassured Richard because he	4	reassured	high	27
460	230	unexpected	Emily reassured Richard because he	4	reassured	high	27
461	231	expected	John rebuked Thomas because he	4	rebuked	high	45
462	231	unexpected	Emily rebuked Thomas because he	4	rebuked	high	45
463	232	expected	Michael recompensed Thomas because he	4	recompensed	low	0
464	232	unexpected	Linda recompensed Thomas because he	4	recompensed	low	0
465	233	expected	William relaxed Robert because he	4	relaxed	high	104
466	233	unexpected	Emily relaxed Robert because he	4	relaxed	high	104
467	234	expected	Robert relished Daniel because he	4	relished	high	99
468	234	unexpected	Sarah relished Daniel because he	4	relished	high	99
469	235	expected	John remunerated Mark because he	4	remunerated	low	0
470	235	unexpected	Linda remunerated Mark because he	4	remunerated	low	0
471	236	expected	David repaid James because he	4	repaid	high	25
472	236	unexpected	Susan repaid James because he	4	repaid	high	25
473	237	expected	Thomas repelled Mark because he	4	repelled	low	7
474	237	unexpected	Linda repelled Mark because he	4	repelled	low	7
475	238	expected	Thomas reprimanded Daniel because he	4	reprimanded	low	12
